Text,n11
nde mwk  ki̇a cerato kalori̇fer kontrol üni̇tesi̇  tl yerine  tl via   ,n11
 telefon almayı düşünenler  var  ise   sayfasından almayın site üzerinde i̇mei numaraları klonlanmış  değiştirilmiş  telefonlar  satılıyor i̇mei numarasının klon  olduğunun mesajı  gün sonra geliyor bu sürede de  yasal iade zamanı bitmiş oluyor ,n11
      al benden de o kadar trendyoldan aldigim ayakkabi iki gundur dönüm dönüm dönüyor ve bubu kargo sırketi ile yasadığım ilk sıkıntı değilgerilim filmi gibisiniz gercekten ,n11
  i̇nsanı önemsemeyen parayı önemseyen bir firma n den alış veriş yapmayın millet,n11
ama n ne yapıyor müşterisini cezalandırma yönüne gidiyor buradan n  sitesi ilgililerine sesleniyorum sizin kızınızın veya oğlunuzu  başına bu durum gelse ve mağdur olsanız kimi muhatap alırsınız kime yaptırım uygularsınız  ,n11
"  
 ekimde aşagıya resmini koyduğum  sınıfa giden lgs çalışmaları hafta sonuna yetişmesini planladığımız ürünü sipariş verdim ürünüm iki gün sonra geldi ama iki farklı ürün gelmesi gerekirken aynı ürünü iki adet olarak yollamışlar ",n11
"    
 dan  tarihinde  pttkargoya verilen kargom neden  gündür bana ulaştırılmıyor ",n11
      sizin gibi berbat bir şirket yer yüzün de başka var mı bilemiyorum ben çin den  günde i̇stanbula kargo getirtiyorum siz trabzondan i̇stanbula  gün de getiremediniz asla ulaşılamıyorsunuz ticaret bakanlığı cimer ve ulaştırma bakanlığına hakkınızda şikayet oluşturacağım,n11
nde ki̇a ri̇o  kalori̇fer kontrol üni̇tesi̇ komple ori̇ji̇nal  tl yerine  tl via       ,n11
 pişmanlık kesinlikle iptal etmiyor satıcıyı bekliyor zamanında kargo yapılmamış ürün için  iş günü ve  saat beklecekmişim bir daha senden sipariş verdiğimi göremeyeceksin,n11
 arkadaş şu bildirim sesini değiştir bir gün ödüllü olacağım ,n11
"bu sadece size zarar vermez müşterileriniz var             
",n11
çok ayıp  güvenilirliğinizi kaybediyorsunuz ben daha da alışveriş yapmam ,n11
" 
 verdiğimiz  sipariş farklı firmalar tarafından gönderilmedi hatta bir firma ürün olmadan kargoyu böyle göndermiş bu şekilde çalışmaya devam ederseniz gittigidiyor gibi batacaksınız müşteri memnuniyeti dibe vurdu artık ",n11
   merhaba mağaza destek hattından çok acil dönüş almam gerekmekte hiçbir şekilde ulaşım sağlayamıyorum dm üzerinden iletişim bilgilerimi aktarmış bulunmaktayım acil dönüş rica ediyorum,n11
  n de malesef bu tür sorunlar yaşanıyor ve sorunların arkasında durmuyorlar biz tüketiciler olarak böyle madur oluyoruz gerçekten yazık,n11
  yok hala almıyor arıyorlarkargo ayın  nda teslim ettikdemis bana bir teslimat yok ne yapacaksiniz diyorum kargodan teslimat kağıdı isteyeceklermiseee diyorum elinize geçince heyete başvurun siz değil firmamız önemli diyorlar ,n11
  hayır ürün kırık diyorlar tüketici heyetine başvurun dediler tamam dedim çünkü biliyorum ürün kırık değil ama ustunden  gün geçmiş firma bunu yollamamis o zaman bir zahmet para iademi yapacakfirmayi koruyor ama benim hakkım korunmuyor,n11
gerçekten rezil bir müşteri deneyimi okuyun ki tanıyın  ,n11
  böylece ni kez daha ne kadar kalitesiz bir kuruluş olduğunu kanıtladı n,n11
   bu sorumluluğu almıyor musunuz,n11
  n hiçbir zaman kaliteli ürün yollamamıştırkimden duysam bu tip sorunlar yaşıyorlarürünü beğenmediysen zaten iade hakkın var tüm siteler sana bu hakkı veriyor da sorgulamak n emi kalmış,n11
"  sayın 
lütfen müdahale ediniz",n11
"  yazıklar olsun  
yazıklar olsun",n11
başvurun dediniz gündür bana yollanmayan ürün için firmaya yaptırıminiz ne olacak diyorum bir şey yapılmayacak deniyor madurum param iade edilsin diyorum yok firma kargoya verdik demiş ama açıyorum kargo takibi yok ne yapacaksın müşteriniz icin  ,n11
sercan adlı temsilci firma kontrol edecek dedipeki  gündür elime geçmeyen ürün için hala para iadesi yapilmmayacak mi diyorum hayır diyor peki yıldız elektrik firmanın mağduriyetini giderdiniz müşteri olarak cezamı söylediniz tüketici haklarına ,n11
hasarlı diye tarafıma iade edildiuzun görüşmeler sonunda  ekimde  tarafima dönüş yaptı ürün kırık tüketici heyetine başvurabilirsiniz dedipeki dedimfakat aradan tam  gün geçmiş ve hala ürün yok bugun aradım bu ürün nerde diye firmayla görüştüler,n11
 eylül de vermiş olduğum homend marka kahve mak eline geçti ürün aşırı plastik koktuğu için iade ettim ürünü actigimda üründe hiçbir sorun yoktu ama içinden nereye ait olduğunu bilmediğim plastikler vardıbunlari da içine koyup yolladığım ürün   ,n11
sadece böyle düzenin ben taa gtünden sikeyim  en sonunda kafama sıkıcam dedim  bana özel reklam çıkarttı aq ,n11
 sipariş tarihi   bugün  ne ürün var ne para iadesisizde gevşek çıktınız ,n11
  haftadır iade talebim mağaza tarafından değerlendiriliyor bir an önce alsanız ürünü artık,n11
,n11
günaydın   rezil bir hizmet veriyorsunuz kuryeniz inanılmaz sorumsuz sayenizde  tercih ettiğime bin pişman oldum,n11
   satin aldiginiz urunun siparis numarasi   diye başlayan siparis tarafima ait degildir müşterimiz muhtemelen yanlis numara vermis alisveris mesajlari bana geliyor,n11
 web sürümündeki paylaş kazan kuponu mobilde çıkmıyor ,n11
tanıdık emekli amca zar zor  tl denkleştirip    sizden  telefon aldı bozuk çıktı değişmediniz tamir ettirdiniz servise kendin yolla demişsiniz ortada servis yok tek yaşayan adamcağız tlf suz kaldı ölse kimseyi arayamaz allah belanızı versin,n11
  buralarda satılan ürünlerin  i çakma ürün zaten ayakabıdan monta formya kadar,n11
fatura hala yok  da hala hiç bir dönüş yok muhteşem,n11
   ohooo bu platformlar sku dediğimiz sistem ile çalışıyor yani bir satılan sayfaya satıcılar girip ordan satıyor fiyatları gönderdikleri ürünü kendileri belirliyor ama ürün görsel ile aynı olmak zorunda burda da aynı gibi,n11
  bu futbolcu forması gs store de  tl civarıydı,n11
     ay kredi seçeneği de varmış bak hele,n11
  n yalan ve uyduruk dolu bi site ben hıc dıkkate almıorum,n11
  böyle sitelerde çakma ürün satmak yasak değil mi nasıl oluyor bu işleyiş bilgisi olan plase,n11
   yesnt,n11
   sende diziye dön artık aq,n11
   ksmsmsdk aga be üzüldüm lan,n11
  çakma tabiki ben çocukken paramı biriktirip gittigidiyordan  tlye fenerbahçe forması almıştım çakma olduğunu anladım ama iade bilmediğim için orjinaldir diye kendimi avutmuştum amk dolandırıcıları orjinal yazmıştı bir de,n11
  replika,n11
  çakma,n11
bunla alakalı bir fikrin varmı   ,n11
  gün önce sipariş ettiğim ürün iki gündür aras kargonun arabasında sanayide bekliyor bu kadar rezil bir kargo firmasıyla çalışmayı kendinize yakıştıriyorsaniz ben artık sizinle çalişmayacağim ve üyeliğimi iptal edeceğim,n11
 seruminfüzyon seti aldımmğzhomecenterancak görsel ve tanımda belirtiln değilne olduğu belirsz bir ürn gönderilmişiade ediyorm ama olumsuz yorum bırakamıyormiadelerde bu imkan yoknedenhem de medikal üründiğer alıcılar bunu neden öğrenemesin ,n11
n de satıcı olmak çok daha zor üzücü ,n11
      kargom nerede ,n11
    dan alışveriş yaptığınızda fatura kopyası veya mail i size ulaşmadıysa bilinkimağaza fatura kesmemişbu mağazaları  ı fatura kesmiyorancak talep ederseniz size fatura geliyorbu durum kargo firmalarında da aynı,n11
  bahsettiğim yazışmaya ait bilgiler attığınız link ve benim aldığım çıktı şu an elimde şu an çok şaşkınımböyle bir hatayı nasıl yaparsınızfatura numarasını paylaşıyorum sizinle ,n11
 kişisel verilerin korunması kanunu ile alakalı bilgi edinmeniz gerekiyoryaptığım alışverişin faturasını istiyorum bana başka bir kişinin adres tc telefon mail adresinin yer aldığı faturanın linkini atıyorsunuz bizlerin bilgilerini kimlerle paylaşıyorsunuz acaba,n11
"anlaşmalı olduğumuz internet sitelerinden yaptığınız alışverişlerinizin kargolarını easy point express teslimat dolaplarına yönlendirin bu ayrıcalıktan siz de yararlanın

      ",n11
  merhaba aldıgım üründe fatura çıkmadı satıcıya yazdım gönderilir dedi gelmedi canlı yardımdan temsilciye bildirdim satıcı ile telefonda görüştüğünü öğlene kadar göndereceğini söyledi hala gelen bişey yok faturam gelmezse yasal işlemleri başlatacağım,n11
" 
  n çalıştırdığı insanları alırken seçici olsun müşteri ile nasıl konuşması gerektiğini bana bedava ürün yollamış gibi bir konuşma tarzı vardı",n11
"
 n müşteri temsilcisi kurduğu cümle şu şekilde sadece bizden böyle bir marka ayakkabı almışsınız evet yasal haklarınızı kullanın önce o şekilde kurumsal bir kimlik iddia eden n çalıştırdığı insanları alırken seçici olsun müşteri ile nasıl konuşması gerektiğini",n11
"  hafta önce
n üzerinden kısa bir süre önce  yıl garantili olarak kalitesiz bir jump marka bir erkek ayakkabı aldım ürün kısa sürede yırtıldı ve geçen gün garantiye yolladım ve her zaman ki gibi kullanıcı hatası olarak geri yollandı daha sonra bana ulaşan",n11
"      
kargom nerede  biriniz açıklama yapacak mısınız ",n11
" ekimde mısırdan gemi ile yola çıkan abim geldi de  ekimde aras kargo ankara necatibey şubesinde araca yüklendiği bilgisi verilen kargom gelmedi 

 sevgili  çalıştığın kargo firmasına dön de bir bak istiyorum  lütfen ürününü takip et",n11
 problem nedir,n11
i̇st aksaraydan başakşehire bir paket kargo nasıl gelemez  sekiz gündür hayretle izliyoruz  ,n11
      ,n11
        n i ne severim nede korurum ancak hesabinizin durdurulması gayet mantıklı  gun içinde  alisveris yapiyorsunuz  i de ne hikmetse uyumsuz oluyor iptal ediliyor siz havaya bakarak mı alisveris yapiyorsunuz çuvaldızı bi kendinize batırın da ni protesto ederiz sonra,n11
  bu sorunumu çözün yada bırakın bu işleri böyle bir sorunla    vb hiç bir firmada karşılaşamıyoruz,n11
     an i̇tibarı i̇le tüm hesaplarımı i̇ptal ediyorum,n11
  hangi konuda yardımcı olacaksınız,n11
saat de kuponmatik başlayacak diye de mesaj gelmesi normal mi ,n11
"  ve  de varmış bu anlam veremediğim kargo ücretlendirmesi amaçlarının  tl altındaki satışları canlandırmak ve mağaza satışlarını arttırmak olduğunu iddia ediyorlar ama
bir tek  tek fiyat uygulaması yapıyor herhalde her şartta tl mi ödüyorsun",n11
  suratsız kargoyla çalısan sitelerden de ürün almayacağım ,n11
